2025-04-22 17:44:03,222 INFO    MainThread:2625995 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_setup.py:_flush():67] Configure stats pid to 2625995
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_setup.py:_flush():67] Loading settings from /home/ouyangzl/.config/wandb/settings
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_setup.py:_flush():67] Loading settings from /home/ouyangzl/BaseLine/2 NN/wandb/settings
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/ouyangzl/BaseLine/2 NN/wandb/run-20250422_174403-6kpqxvxs/logs/debug.log
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/ouyangzl/BaseLine/2 NN/wandb/run-20250422_174403-6kpqxvxs/logs/debug-internal.log
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_init.py:init():761] calling init triggers
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_init.py:init():784] starting backend
2025-04-22 17:44:03,223 INFO    MainThread:2625995 [wandb_init.py:init():788] sending inform_init request
2025-04-22 17:44:03,242 INFO    MainThread:2625995 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-22 17:44:03,243 INFO    MainThread:2625995 [wandb_init.py:init():798] backend started and connected
2025-04-22 17:44:03,245 INFO    MainThread:2625995 [wandb_init.py:init():891] updated telemetry
2025-04-22 17:44:03,268 INFO    MainThread:2625995 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-22 17:44:03,874 INFO    MainThread:2625995 [wandb_init.py:init():990] starting run threads in backend
2025-04-22 17:44:04,035 INFO    MainThread:2625995 [wandb_run.py:_console_start():2375] atexit reg
2025-04-22 17:44:04,035 INFO    MainThread:2625995 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-22 17:44:04,036 INFO    MainThread:2625995 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-22 17:44:04,036 INFO    MainThread:2625995 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-22 17:44:04,039 INFO    MainThread:2625995 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-22 17:44:04,040 INFO    MainThread:2625995 [wandb_run.py:_config_callback():1261] config_cb None None {'np_seed': 12138, 'torch_seed': 12138, 'learning_rate': 0.01, 'steps': 500, 'record_steps': [1, 2, 3, 5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460, 480, 500], 'input_dim': 16, 'hidden_dim': 32, 'output_dim': 10, 'top_k_pca_number': 5, 'wandb_project_name': 'Baseline', 'wandb_run_name': '2 NN+GD+without activate function'}
