/home/ouyangzl/.local/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([1, 10, 16])) that is different to the input size (torch.Size([10, 16])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Step 0: Loss = 1.3189362287521362
Step 1: Loss = 1.2512460947036743
/home/ouyangzl/.local/lib/python3.12/site-packages/torch/autograd/graph.py:823: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /pytorch/torch/csrc/autograd/engine.cpp:1260.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Step 2: Loss = 1.1357516050338745
Step 3: Loss = 0.9964496493339539
Step 4: Loss = 0.8540593981742859
Step 5: Loss = 0.7224301099777222
Step 6: Loss = 0.608478307723999
Step 7: Loss = 0.5139675140380859
Step 8: Loss = 0.4376118779182434
Step 9: Loss = 0.37673506140708923
Step 10: Loss = 0.32831308245658875
Step 11: Loss = 0.2895159423351288
Step 12: Loss = 0.2579273581504822
Step 13: Loss = 0.23158977925777435
Step 14: Loss = 0.20897074043750763
Step 15: Loss = 0.18890459835529327
Step 16: Loss = 0.17053644359111786
Step 17: Loss = 0.15327897667884827
Step 18: Loss = 0.13678424060344696
Step 19: Loss = 0.12092714756727219
Step 20: Loss = 0.10579359531402588
Step 21: Loss = 0.09166299551725388
Step 22: Loss = 0.07897160202264786
Step 23: Loss = 0.0682436153292656
Step 24: Loss = 0.05998179316520691
Step 25: Loss = 0.054523784667253494
Step 26: Loss = 0.05189259722828865
Step 27: Loss = 0.05169406533241272
Step 28: Loss = 0.05312211066484451
Step 29: Loss = 0.05510759353637695
Step 30: Loss = 0.05658532306551933
Step 31: Loss = 0.05678483471274376
Step 32: Loss = 0.05542255565524101
Step 33: Loss = 0.052715327590703964
Step 34: Loss = 0.0492253452539444
Step 35: Loss = 0.04562389478087425
Step 36: Loss = 0.04247935861349106
Step 37: Loss = 0.04013609513640404
Step 38: Loss = 0.03869369626045227
Step 39: Loss = 0.0380563922226429
Step 40: Loss = 0.03801148012280464
Step 41: Loss = 0.03830490633845329
Step 42: Loss = 0.03869783505797386
Step 43: Loss = 0.0390004999935627
Step 44: Loss = 0.03908681496977806
Step 45: Loss = 0.03889528289437294
Step 46: Loss = 0.038421373814344406
Step 47: Loss = 0.0377052016556263
Step 48: Loss = 0.03681691363453865
Step 49: Loss = 0.03584153577685356
Step 50: Loss = 0.03486432507634163
Step 51: Loss = 0.03395809605717659
Step 52: Loss = 0.03317350521683693
Step 53: Loss = 0.032533638179302216
Step 54: Loss = 0.032033588737249374
Step 55: Loss = 0.03164498880505562
Step 56: Loss = 0.031324602663517
Step 57: Loss = 0.031024938449263573
Step 58: Loss = 0.03070458211004734
Step 59: Loss = 0.03033584915101528
Step 60: Loss = 0.029908383265137672
Step 61: Loss = 0.029428323730826378
Step 62: Loss = 0.028913987800478935
Step 63: Loss = 0.028389638289809227
Step 64: Loss = 0.027879226952791214
Step 65: Loss = 0.02740149199962616
Step 66: Loss = 0.026967231184244156
Step 67: Loss = 0.026578793302178383
Step 68: Loss = 0.026231402531266212
Step 69: Loss = 0.025915533304214478
Step 70: Loss = 0.02561965584754944
Step 71: Loss = 0.025332679972052574
Step 72: Loss = 0.025045841932296753
Step 73: Loss = 0.024753673002123833
Step 74: Loss = 0.02445427142083645
Step 75: Loss = 0.02414882555603981
Step 76: Loss = 0.023840753361582756
Step 77: Loss = 0.023534590378403664
Step 78: Loss = 0.023234898224473
Step 79: Loss = 0.022945350036025047
Step 80: Loss = 0.02266816794872284
Step 81: Loss = 0.022403879091143608
Step 82: Loss = 0.022151459008455276
Step 83: Loss = 0.02190873585641384
Step 84: Loss = 0.0216729324311018
Step 85: Loss = 0.02144126407802105
Step 86: Loss = 0.021211421117186546
Step 87: Loss = 0.020981883630156517
Step 88: Loss = 0.02075204625725746
Step 89: Loss = 0.02052213065326214
Step 90: Loss = 0.02029295824468136
Step 91: Loss = 0.02006566897034645
Step 92: Loss = 0.01984141767024994
Step 93: Loss = 0.01962113380432129
Step 94: Loss = 0.01940537430346012
Step 95: Loss = 0.019194282591342926
Step 96: Loss = 0.01898762956261635
Step 97: Loss = 0.018784910440444946
Step 98: Loss = 0.018585501238703728
Step 99: Loss = 0.018388772383332253
Step 100: Loss = 0.018194209784269333
Step 101: Loss = 0.01800147071480751
Step 102: Loss = 0.017810409888625145
Step 103: Loss = 0.01762106642127037
Step 104: Loss = 0.017433611676096916
Step 105: Loss = 0.01724828965961933
Step 106: Loss = 0.017065346240997314
Step 107: Loss = 0.01688498817384243
Step 108: Loss = 0.016707340255379677
Step 109: Loss = 0.01653243415057659
Step 110: Loss = 0.016360223293304443
Step 111: Loss = 0.016190586611628532
Step 112: Loss = 0.01602337323129177
Step 113: Loss = 0.015858430415391922
Step 114: Loss = 0.015695620328187943
Step 115: Loss = 0.015534847043454647
Step 116: Loss = 0.01537605281919241
Step 117: Loss = 0.015219229273498058
Step 118: Loss = 0.015064388513565063
Step 119: Loss = 0.014911562204360962
Step 120: Loss = 0.014760786667466164
Step 121: Loss = 0.014612075872719288
Step 122: Loss = 0.01446543913334608
Step 123: Loss = 0.014320852234959602
Step 124: Loss = 0.014178275130689144
Step 125: Loss = 0.014037651009857655
Step 126: Loss = 0.013898918405175209
Step 127: Loss = 0.01376201119273901
Step 128: Loss = 0.013626867905259132
Step 129: Loss = 0.013493435457348824
Step 130: Loss = 0.0133616728708148
Step 131: Loss = 0.013231552205979824
Step 132: Loss = 0.013103045523166656
Step 133: Loss = 0.012976134195923805
Step 134: Loss = 0.012850797735154629
Step 135: Loss = 0.012727014720439911
Step 136: Loss = 0.01260476466268301
Step 137: Loss = 0.01248401403427124
Step 138: Loss = 0.012364736758172512
Step 139: Loss = 0.012246892787516117
