/home/ouyangzl/.local/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([1, 10, 16])) that is different to the input size (torch.Size([10, 16])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Step 0: Loss = 105.85078430175781
Step 1: Loss = 26.239606857299805
/home/ouyangzl/.local/lib/python3.12/site-packages/torch/autograd/graph.py:823: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /pytorch/torch/csrc/autograd/engine.cpp:1260.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Step 2: Loss = 4.9040727615356445
Step 3: Loss = 1.3723589181900024
Step 4: Loss = 0.6388012170791626
Step 5: Loss = 0.45339375734329224
Step 6: Loss = 1.42758309841156
Step 7: Loss = 6.514859676361084
Step 8: Loss = 15.271570205688477
Step 9: Loss = 17.328311920166016
Step 10: Loss = 12.506057739257812
Step 11: Loss = 8.123518943786621
Step 12: Loss = 5.269357204437256
Step 13: Loss = 3.3831355571746826
Step 14: Loss = 2.274068832397461
Step 15: Loss = 1.6853615045547485
Step 16: Loss = 1.3479994535446167
Step 17: Loss = 1.1259697675704956
Step 18: Loss = 0.9686123728752136
Step 19: Loss = 0.849420964717865
Step 20: Loss = 0.7564465999603271
Step 21: Loss = 0.6951549649238586
Step 22: Loss = 0.6805651187896729
Step 23: Loss = 0.720977783203125
Step 24: Loss = 0.8027793169021606
Step 25: Loss = 0.8872842788696289
Step 26: Loss = 0.9268324971199036
Step 27: Loss = 0.8925648927688599
Step 28: Loss = 0.7914901375770569
Step 29: Loss = 0.6577731966972351
Step 30: Loss = 0.5284059643745422
Step 31: Loss = 0.4251213073730469
Step 32: Loss = 0.3519926369190216
Step 33: Loss = 0.3027050495147705
Step 34: Loss = 0.2684195637702942
Step 35: Loss = 0.2420894205570221
Step 36: Loss = 0.21953251957893372
Step 37: Loss = 0.19893990457057953
Step 38: Loss = 0.18004579842090607
Step 39: Loss = 0.1634136587381363
Step 40: Loss = 0.14984802901744843
Step 41: Loss = 0.13987012207508087
Step 42: Loss = 0.13330022990703583
Step 43: Loss = 0.12910130620002747
Step 44: Loss = 0.12561975419521332
Step 45: Loss = 0.12118213623762131
Step 46: Loss = 0.11476895958185196
Step 47: Loss = 0.10639353096485138
Step 48: Loss = 0.09697985649108887
Step 49: Loss = 0.08784718066453934
Step 50: Loss = 0.08011920750141144
Step 51: Loss = 0.07434643059968948
Step 52: Loss = 0.07044406980276108
Step 53: Loss = 0.0678732618689537
Step 54: Loss = 0.0659218430519104
Step 55: Loss = 0.06395981460809708
Step 56: Loss = 0.06160048395395279
Step 57: Loss = 0.05875002220273018
Step 58: Loss = 0.05556218698620796
Step 59: Loss = 0.0523327998816967
Step 60: Loss = 0.04937414824962616
Step 61: Loss = 0.04690707474946976
Step 62: Loss = 0.04499927908182144
Step 63: Loss = 0.04356280714273453
Step 64: Loss = 0.0424049012362957
Step 65: Loss = 0.0413086824119091
Step 66: Loss = 0.04011104255914688
Step 67: Loss = 0.03874894604086876
Step 68: Loss = 0.03726128488779068
Step 69: Loss = 0.0357532724738121
Step 70: Loss = 0.034343913197517395
Step 71: Loss = 0.03311985358595848
Step 72: Loss = 0.03211086615920067
Step 73: Loss = 0.03129049763083458
Step 74: Loss = 0.03059539757668972
Step 75: Loss = 0.029952427372336388
Step 76: Loss = 0.029302895069122314
Step 77: Loss = 0.028617067262530327
Step 78: Loss = 0.027896633371710777
Step 79: Loss = 0.027167005464434624
Step 80: Loss = 0.026463685557246208
Step 81: Loss = 0.025818098336458206
Step 82: Loss = 0.02524731121957302
Step 83: Loss = 0.024750225245952606
Step 84: Loss = 0.024310501292347908
Step 85: Loss = 0.02390410006046295
Step 86: Loss = 0.023508170619606972
Step 87: Loss = 0.023108050227165222
Step 88: Loss = 0.022700235247612
Step 89: Loss = 0.022291013970971107
Step 90: Loss = 0.021892031654715538
Step 91: Loss = 0.021514927968382835
Step 92: Loss = 0.021167028695344925
Step 93: Loss = 0.020849382504820824
Step 94: Loss = 0.020557332783937454
Step 95: Loss = 0.020282842218875885
Step 96: Loss = 0.020017504692077637
Step 97: Loss = 0.019755100831389427
Step 98: Loss = 0.01949290558695793
Step 99: Loss = 0.019231701269745827
Step 100: Loss = 0.018974605947732925
Step 101: Loss = 0.01872541569173336
Step 102: Loss = 0.01848706416785717
Step 103: Loss = 0.018260661512613297
Step 104: Loss = 0.018045315518975258
Step 105: Loss = 0.017838694155216217
Step 106: Loss = 0.017637941986322403
Step 107: Loss = 0.01744063012301922
Step 108: Loss = 0.017245380207896233
Step 109: Loss = 0.01705203391611576
Step 110: Loss = 0.016861388459801674
Step 111: Loss = 0.016674641519784927
Step 112: Loss = 0.016492852941155434
Step 113: Loss = 0.016316508874297142
Step 114: Loss = 0.01614541746675968
Step 115: Loss = 0.01597881130874157
Step 116: Loss = 0.01581566035747528
Step 117: Loss = 0.015654992312192917
Step 118: Loss = 0.01549616176635027
Step 119: Loss = 0.0153389573097229
Step 120: Loss = 0.015183559618890285
Step 121: Loss = 0.01503037940710783
Step 122: Loss = 0.014879867434501648
Step 123: Loss = 0.014732345938682556
Step 124: Loss = 0.01458790898323059
Step 125: Loss = 0.014446432702243328
Step 126: Loss = 0.014307647943496704
Step 127: Loss = 0.014171237125992775
Step 128: Loss = 0.01403693575412035
Step 129: Loss = 0.01390459667891264
Step 130: Loss = 0.013774196617305279
Step 131: Loss = 0.013645785860717297
Step 132: Loss = 0.013519453816115856
Step 133: Loss = 0.013395256362855434
Step 134: Loss = 0.013273176737129688
Step 135: Loss = 0.013153132982552052
Step 136: Loss = 0.013034987263381481
Step 137: Loss = 0.012918583117425442
Step 138: Loss = 0.01280378270894289
Step 139: Loss = 0.01269049383699894
Step 140: Loss = 0.01257866807281971
Step 141: Loss = 0.012468308210372925
Step 142: Loss = 0.012359436601400375
Step 143: Loss = 0.012252075597643852
Step 144: Loss = 0.012146229855716228
Step 145: Loss = 0.012041879817843437
Step 146: Loss = 0.01193898357450962
Step 147: Loss = 0.011837482452392578
Step 148: Loss = 0.011737314984202385
Step 149: Loss = 0.011638430878520012
Step 150: Loss = 0.011540792882442474
Step 151: Loss = 0.011444379575550556
Step 152: Loss = 0.011349176056683064
Step 153: Loss = 0.0112551748752594
Step 154: Loss = 0.011162367649376392
Step 155: Loss = 0.011070731095969677
Step 156: Loss = 0.010980249382555485
Step 157: Loss = 0.010890892706811428
Step 158: Loss = 0.010802633129060268
Step 159: Loss = 0.01071544736623764
Step 160: Loss = 0.010629316791892052
Step 161: Loss = 0.01054423302412033
Step 162: Loss = 0.010460185818374157
Step 163: Loss = 0.010377171449363232
Step 164: Loss = 0.010295185260474682
Step 165: Loss = 0.010214217007160187
Step 166: Loss = 0.010134262032806873
Step 167: Loss = 0.010055306367576122
Step 168: Loss = 0.00997733511030674
Step 169: Loss = 0.009900338016450405
Step 170: Loss = 0.009824304841458797
Step 171: Loss = 0.00974922627210617
Step 172: Loss = 0.009675092063844204
Step 173: Loss = 0.009601898491382599
Step 174: Loss = 0.009529638104140759
Step 175: Loss = 0.009458308108150959
Step 176: Loss = 0.009387897327542305
Step 177: Loss = 0.009318403899669647
Step 178: Loss = 0.009249813854694366
Step 179: Loss = 0.009182123467326164
Step 180: Loss = 0.009115321561694145
Step 181: Loss = 0.00904940441250801
Step 182: Loss = 0.00898436363786459
Step 183: Loss = 0.008920194581151009
Step 184: Loss = 0.008856887929141521
Step 185: Loss = 0.008794440887868404
Step 186: Loss = 0.008732845075428486
Step 187: Loss = 0.008672093041241169
Step 188: Loss = 0.008612177334725857
Step 189: Loss = 0.008553092367947102
Step 190: Loss = 0.008494829759001732
Step 191: Loss = 0.008437382988631725
Step 192: Loss = 0.008380740880966187
Step 193: Loss = 0.008324901573359966
Step 194: Loss = 0.008269854821264744
Step 195: Loss = 0.008215594105422497
Step 196: Loss = 0.008162111043930054
Step 197: Loss = 0.008109399117529392
Step 198: Loss = 0.008057450875639915
Step 199: Loss = 0.008006255142390728
Step 200: Loss = 0.007955809123814106
Step 201: Loss = 0.00790610071271658
Step 202: Loss = 0.007857120595872402
Step 203: Loss = 0.007808865047991276
Step 204: Loss = 0.007761323358863592
Step 205: Loss = 0.007714486215263605
Step 206: Loss = 0.00766834756359458
Step 207: Loss = 0.007622897624969482
Step 208: Loss = 0.007578127086162567
Step 209: Loss = 0.007534028496593237
Step 210: Loss = 0.00749059347435832
Step 211: Loss = 0.007447810377925634
Step 212: Loss = 0.007405674550682306
Step 213: Loss = 0.007364174816757441
Step 214: Loss = 0.007323303259909153
Step 215: Loss = 0.007283051498234272
Step 216: Loss = 0.007243409752845764
Step 217: Loss = 0.007204370107501745
Step 218: Loss = 0.007165923714637756
Step 219: Loss = 0.007128061261028051
Step 220: Loss = 0.007090775761753321
Step 221: Loss = 0.007054055575281382
Step 222: Loss = 0.007017894182354212
Step 223: Loss = 0.0069822827354073524
Step 224: Loss = 0.006947213318198919
Step 225: Loss = 0.006912675686180592
Step 226: Loss = 0.006878662388771772
Step 227: Loss = 0.006845164578408003
Step 228: Loss = 0.006812174804508686
Step 229: Loss = 0.006779684219509363
Step 230: Loss = 0.006747683044523001
Step 231: Loss = 0.006716165225952864
Step 232: Loss = 0.0066851237788796425
Step 233: Loss = 0.0066545456647872925
Step 234: Loss = 0.0066244290210306644
Step 235: Loss = 0.006594761740416288
Step 236: Loss = 0.006565536838024855
Step 237: Loss = 0.006536747794598341
Step 238: Loss = 0.006508387625217438
Step 239: Loss = 0.0064804465509951115
Step 240: Loss = 0.00645291805267334
Step 241: Loss = 0.006425795145332813
Step 242: Loss = 0.006399070378392935
Step 243: Loss = 0.00637273583561182
Step 244: Loss = 0.0063467854633927345
Step 245: Loss = 0.006321211811155081
Step 246: Loss = 0.006296008825302124
Step 247: Loss = 0.00627116858959198
Step 248: Loss = 0.006246685981750488
Step 249: Loss = 0.006222550757229328
Step 250: Loss = 0.00619876105338335
Step 251: Loss = 0.0061753070913255215
Step 252: Loss = 0.006152186077088118
Step 253: Loss = 0.006129387300461531
Step 254: Loss = 0.0061069088988006115
Step 255: Loss = 0.006084741558879614
Step 256: Loss = 0.00606287969276309
Step 257: Loss = 0.006041320506483316
Step 258: Loss = 0.006020055618137121
Step 259: Loss = 0.005999080371111631
Step 260: Loss = 0.005978388246148825
Step 261: Loss = 0.005957975517958403
Step 262: Loss = 0.005937834735959768
Step 263: Loss = 0.005917962174862623
Step 264: Loss = 0.005898352712392807
Step 265: Loss = 0.005878999829292297
Step 266: Loss = 0.005859899800270796
Step 267: Loss = 0.005841049365699291
Step 268: Loss = 0.005822438281029463
Step 269: Loss = 0.0058040679432451725
Step 270: Loss = 0.005785929970443249
Step 271: Loss = 0.00576802110299468
Step 272: Loss = 0.005750336684286594
Step 273: Loss = 0.005732872057706118
Step 274: Loss = 0.005715623032301664
Step 275: Loss = 0.005698585882782936
Step 276: Loss = 0.005681756883859634
Step 277: Loss = 0.005665130913257599
Step 278: Loss = 0.005648702383041382
Step 279: Loss = 0.005632468964904547
Step 280: Loss = 0.005616428796201944
Step 281: Loss = 0.005600576288998127
Step 282: Loss = 0.005584907718002796
Step 283: Loss = 0.0055694179609417915
Step 284: Loss = 0.005554105620831251
Step 285: Loss = 0.005538966506719589
Step 286: Loss = 0.005523996893316507
Step 287: Loss = 0.005509193520992994
Step 288: Loss = 0.005494554527103901
Step 289: Loss = 0.0054800743237137794
Step 290: Loss = 0.005465749651193619
Step 291: Loss = 0.005451579578220844
Step 292: Loss = 0.0054375589825212955
Step 293: Loss = 0.005423686932772398
Step 294: Loss = 0.005409958306699991
Step 295: Loss = 0.005396372172981501
Step 296: Loss = 0.005382924806326628
Step 297: Loss = 0.005369612015783787
Step 298: Loss = 0.0053564319387078285
Step 299: Loss = 0.005343383178114891
Step 300: Loss = 0.005330462008714676
Step 301: Loss = 0.005317665636539459
Step 302: Loss = 0.005304992198944092
Step 303: Loss = 0.005292439367622137
Step 304: Loss = 0.005280002485960722
Step 305: Loss = 0.005267683416604996
Step 306: Loss = 0.005255476105958223
Step 307: Loss = 0.005243379157036543
Step 308: Loss = 0.0052313911728560925
Step 309: Loss = 0.005219509359449148
Step 310: Loss = 0.005207730922847986
Step 311: Loss = 0.005196054466068745
Step 312: Loss = 0.005184478592127562
Step 313: Loss = 0.005173000041395426
Step 314: Loss = 0.0051616160199046135
Step 315: Loss = 0.005150326993316412
Step 316: Loss = 0.0051391287706792355
Step 317: Loss = 0.005128021817654371
Step 318: Loss = 0.005117001011967659
Step 319: Loss = 0.005106066353619099
Step 320: Loss = 0.005095218308269978
Step 321: Loss = 0.005084450822323561
Step 322: Loss = 0.005073764827102423
Step 323: Loss = 0.00506315752863884
Step 324: Loss = 0.005052628461271524
Step 325: Loss = 0.005042173899710178
Step 326: Loss = 0.005031795706599951
Step 327: Loss = 0.005021488294005394
Step 328: Loss = 0.00501125305891037
Step 329: Loss = 0.005001086741685867
Step 330: Loss = 0.004990989342331886
Step 331: Loss = 0.004980957135558128
Step 332: Loss = 0.004970991518348455
Step 333: Loss = 0.004961088299751282
Step 334: Loss = 0.004951248411089182
Step 335: Loss = 0.004941470455378294
Step 336: Loss = 0.004931751172989607
Step 337: Loss = 0.0049220905639231205
Step 338: Loss = 0.004912486765533686
Step 339: Loss = 0.0049029383808374405
Step 340: Loss = 0.004893445409834385
Step 341: Loss = 0.004884005524218082
Step 342: Loss = 0.004874618258327246
Step 343: Loss = 0.0048652826808393
Step 344: Loss = 0.004855993669480085
Step 345: Loss = 0.0048467558808624744
Step 346: Loss = 0.0048375665210187435
Step 347: Loss = 0.004828423261642456
Step 348: Loss = 0.004819325637072325
Step 349: Loss = 0.004810272250324488
Step 350: Loss = 0.00480126217007637
Step 351: Loss = 0.004792294465005398
Step 352: Loss = 0.00478336913511157
