/home/ouyangzl/.local/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([1, 10, 16])) that is different to the input size (torch.Size([10, 16])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Step 0: Loss = 422.890869140625
Step 1: Loss = 15.724639892578125
/home/ouyangzl/.local/lib/python3.12/site-packages/torch/autograd/graph.py:823: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /pytorch/torch/csrc/autograd/engine.cpp:1260.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/ouyangzl/.local/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([1, 10, 16])) that is different to the input size (torch.Size([10, 16])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Step 2: Loss = 2.2624454498291016
Step 3: Loss = 110.38465881347656
Step 4: Loss = 251.7397918701172
Step 5: Loss = 83.3692855834961
Step 6: Loss = 27.24610710144043
Step 7: Loss = 24.068601608276367
Step 8: Loss = 128.77581787109375
Step 9: Loss = 74.2651138305664
Step 10: Loss = 31.934341430664062
Step 11: Loss = 18.37660789489746
Step 12: Loss = 20.515552520751953
Step 13: Loss = 15.74377727508545
Step 14: Loss = 17.303991317749023
Step 15: Loss = 18.384510040283203
Step 16: Loss = 14.4139404296875
Step 17: Loss = 16.26850700378418
Step 18: Loss = 23.650707244873047
Step 19: Loss = 9.687616348266602
Step 20: Loss = 10.223286628723145
Step 21: Loss = 9.850238800048828
Step 22: Loss = 6.188037395477295
Step 23: Loss = 7.742199897766113
Step 24: Loss = 5.750129699707031
Step 25: Loss = 4.012129306793213
Step 26: Loss = 2.7325401306152344
Step 27: Loss = 3.362128973007202
Step 28: Loss = 3.9504196643829346
Step 29: Loss = 2.625783920288086
Step 30: Loss = 1.456929326057434
Step 31: Loss = 1.5750792026519775
Step 32: Loss = 1.8000868558883667
Step 33: Loss = 1.431583285331726
Step 34: Loss = 1.1323450803756714
Step 35: Loss = 0.996708869934082
Step 36: Loss = 0.8869051337242126
Step 37: Loss = 0.8423811197280884
Step 38: Loss = 0.8387450575828552
Step 39: Loss = 0.7640379071235657
Step 40: Loss = 0.6029888987541199
Step 41: Loss = 0.448707640171051
Step 42: Loss = 0.36422500014305115
Step 43: Loss = 0.3353022038936615
Step 44: Loss = 0.3253844380378723
Step 45: Loss = 0.3160940706729889
Step 46: Loss = 0.30220362544059753
Step 47: Loss = 0.28074315190315247
Step 48: Loss = 0.2534755766391754
Step 49: Loss = 0.22704914212226868
Step 50: Loss = 0.20489664375782013
Step 51: Loss = 0.1835620403289795
Step 52: Loss = 0.1587146818637848
Step 53: Loss = 0.13229478895664215
Step 54: Loss = 0.11175820976495743
Step 55: Loss = 0.10235054790973663
Step 56: Loss = 0.10136963427066803
Step 57: Loss = 0.10093559324741364
Step 58: Loss = 0.09589453786611557
Step 59: Loss = 0.0876762792468071
Step 60: Loss = 0.08065366744995117
Step 61: Loss = 0.07671661674976349
Step 62: Loss = 0.07413827627897263
Step 63: Loss = 0.07037536054849625
Step 64: Loss = 0.06472675502300262
Step 65: Loss = 0.0584074966609478
Step 66: Loss = 0.052857667207717896
Step 67: Loss = 0.04846363142132759
Step 68: Loss = 0.04477260261774063
Step 69: Loss = 0.04147718846797943
Step 70: Loss = 0.0388697050511837
Step 71: Loss = 0.03739011660218239
Step 72: Loss = 0.03697318956255913
Step 73: Loss = 0.03695658966898918
Step 74: Loss = 0.03657190129160881
Step 75: Loss = 0.035471536219120026
Step 76: Loss = 0.03383096680045128
Step 77: Loss = 0.0320427231490612
Step 78: Loss = 0.03036346100270748
Step 79: Loss = 0.02882046438753605
Step 80: Loss = 0.027367839589715004
Step 81: Loss = 0.02605106309056282
Step 82: Loss = 0.024996258318424225
Step 83: Loss = 0.024270540103316307
Step 84: Loss = 0.023791182786226273
Step 85: Loss = 0.0233815498650074
Step 86: Loss = 0.022907279431819916
Step 87: Loss = 0.022357897832989693
Step 88: Loss = 0.021810200065374374
Step 89: Loss = 0.021326769143342972
Step 90: Loss = 0.020891115069389343
Step 91: Loss = 0.020431019365787506
Step 92: Loss = 0.019893920049071312
Step 93: Loss = 0.019297614693641663
Step 94: Loss = 0.018714532256126404
Step 95: Loss = 0.018213648349046707
Step 96: Loss = 0.017815720289945602
Step 97: Loss = 0.017493773251771927
Step 98: Loss = 0.017205996438860893
Step 99: Loss = 0.016925867646932602
Step 100: Loss = 0.016647575423121452
Step 101: Loss = 0.016372444108128548
Step 102: Loss = 0.016096509993076324
Step 103: Loss = 0.015811635181307793
Step 104: Loss = 0.015515274368226528
Step 105: Loss = 0.015215742401778698
Step 106: Loss = 0.014926786534488201
