/home/ouyangzl/.local/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([1, 10, 16])) that is different to the input size (torch.Size([10, 16])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Step 0: Loss = 0.33942556381225586
Step 1: Loss = 0.3394044041633606
/home/ouyangzl/.local/lib/python3.12/site-packages/torch/autograd/graph.py:823: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /pytorch/torch/csrc/autograd/engine.cpp:1260.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/ouyangzl/.local/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([1, 10, 16])) that is different to the input size (torch.Size([10, 16])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Step 2: Loss = 0.3393642008304596
Step 3: Loss = 0.33930692076683044
Step 4: Loss = 0.339234322309494
Step 5: Loss = 0.3391478955745697
Step 6: Loss = 0.3390491008758545
Step 7: Loss = 0.3389391601085663
Step 8: Loss = 0.3388189971446991
Step 9: Loss = 0.3386896252632141
Step 10: Loss = 0.33855172991752625
Step 11: Loss = 0.3384058177471161
Step 12: Loss = 0.338252454996109
Step 13: Loss = 0.3380918502807617
Step 14: Loss = 0.33792421221733093
Step 15: Loss = 0.33774951100349426
Step 16: Loss = 0.3375677764415741
Step 17: Loss = 0.33737874031066895
Step 18: Loss = 0.33718210458755493
Step 19: Loss = 0.33697742223739624
Step 20: Loss = 0.3367641866207123
Step 21: Loss = 0.33654171228408813
Step 22: Loss = 0.33630916476249695
Step 23: Loss = 0.33606573939323425
Step 24: Loss = 0.33581027388572693
Step 25: Loss = 0.33554166555404663
Step 26: Loss = 0.33525845408439636
Step 27: Loss = 0.3349592089653015
Step 28: Loss = 0.3346422016620636
Step 29: Loss = 0.3343054950237274
Step 30: Loss = 0.33394694328308105
Step 31: Loss = 0.3335641324520111
Step 32: Loss = 0.3331543803215027
Step 33: Loss = 0.3327145576477051
Step 34: Loss = 0.33224135637283325
Step 35: Loss = 0.33173084259033203
Step 36: Loss = 0.3311786353588104
Step 37: Loss = 0.3305799067020416
Step 38: Loss = 0.329928994178772
Step 39: Loss = 0.32921966910362244
Step 40: Loss = 0.3284446597099304
Step 41: Loss = 0.32759585976600647
Step 42: Loss = 0.32666391134262085
Step 43: Loss = 0.3256382346153259
Step 44: Loss = 0.32450658082962036
Step 45: Loss = 0.3232550323009491
Step 46: Loss = 0.32186755537986755
Step 47: Loss = 0.32032570242881775
Step 48: Loss = 0.31860825419425964
Step 49: Loss = 0.3166907727718353
Step 50: Loss = 0.3145451247692108
Step 51: Loss = 0.31213870644569397
Step 52: Loss = 0.30943402647972107
Step 53: Loss = 0.30638787150382996
Step 54: Loss = 0.302950382232666
Step 55: Loss = 0.29906436800956726
Step 56: Loss = 0.2946643531322479
Step 57: Loss = 0.28967586159706116
Step 58: Loss = 0.2840147018432617
Step 59: Loss = 0.27758681774139404
Step 60: Loss = 0.2702887952327728
Step 61: Loss = 0.2620093524456024
Step 62: Loss = 0.2526327669620514
Step 63: Loss = 0.24204473197460175
Step 64: Loss = 0.23014263808727264
Step 65: Loss = 0.21685032546520233
Step 66: Loss = 0.20214076340198517
Step 67: Loss = 0.18606656789779663
Step 68: Loss = 0.16879989206790924
Step 69: Loss = 0.1506788730621338
Step 70: Loss = 0.13225428760051727
Step 71: Loss = 0.11432131379842758
Step 72: Loss = 0.09791186451911926
Step 73: Loss = 0.08421403169631958
Step 74: Loss = 0.07438721507787704
Step 75: Loss = 0.069267138838768
Step 76: Loss = 0.06901472061872482
Step 77: Loss = 0.07284364849328995
Step 78: Loss = 0.07901238650083542
Step 79: Loss = 0.0852077528834343
Step 80: Loss = 0.08925077319145203
Step 81: Loss = 0.08982361853122711
Step 82: Loss = 0.08684489876031876
Step 83: Loss = 0.08131424337625504
Step 84: Loss = 0.07476531714200974
Step 85: Loss = 0.06865473836660385
Step 86: Loss = 0.06396062672138214
Step 87: Loss = 0.06107276678085327
Step 88: Loss = 0.05989807844161987
Step 89: Loss = 0.06005307659506798
Step 90: Loss = 0.061046209186315536
Step 91: Loss = 0.062405776232481
Step 92: Loss = 0.06374943256378174
Step 93: Loss = 0.06480952352285385
Step 94: Loss = 0.06543158739805222
Step 95: Loss = 0.06555969268083572
Step 96: Loss = 0.0652165561914444
Step 97: Loss = 0.06448284536600113
Step 98: Loss = 0.06347691267728806
Step 99: Loss = 0.062335219234228134
Step 100: Loss = 0.06119375303387642
Step 101: Loss = 0.06017087772488594
Step 102: Loss = 0.05935288593173027
Step 103: Loss = 0.058784205466508865
Step 104: Loss = 0.05846402794122696
Step 105: Loss = 0.05835045501589775
Step 106: Loss = 0.05837202072143555
Step 107: Loss = 0.058444153517484665
Step 108: Loss = 0.058487266302108765
Step 109: Loss = 0.05844197794795036
Step 110: Loss = 0.05827819183468819
Step 111: Loss = 0.0579964779317379
Step 112: Loss = 0.05762234330177307
Step 113: Loss = 0.05719609931111336
Step 114: Loss = 0.05676144361495972
Step 115: Loss = 0.056355785578489304
Step 116: Loss = 0.05600408464670181
Step 117: Loss = 0.055716682225465775
Step 118: Loss = 0.05549051985144615
Step 119: Loss = 0.05531259998679161
Step 120: Loss = 0.05516442283987999
Step 121: Loss = 0.05502627044916153
Step 122: Loss = 0.054880619049072266
Step 123: Loss = 0.05471450090408325
Step 124: Loss = 0.054520513862371445
Step 125: Loss = 0.05429675802588463
Step 126: Loss = 0.05404597520828247
Step 127: Loss = 0.053774189203977585
Step 128: Loss = 0.053489018231630325
Step 129: Loss = 0.053198158740997314
Step 130: Loss = 0.052908074110746384
Step 131: Loss = 0.05262310057878494
Step 132: Loss = 0.052345097064971924
Step 133: Loss = 0.052073538303375244
Step 134: Loss = 0.05180602893233299
Step 135: Loss = 0.05153898522257805
