step,gap_index,gap,log_gap
0,1,0.02979693020461127,-1.5258284763221008
0,2,0.029211696470156312,-1.5344432206288712
0,3,0.00017115846276283264,-3.7666016227292194
0,4,0.00015687910490668323,-3.804434897254584
0,5,0.00014549121260643005,-3.837163236449789
0,6,0.0001254342496395111,-3.901583863835914
0,7,0.00011868029832839966,-3.9256213706614402
0,8,0.00010951980948448181,-3.9605073203516983
0,9,8.895620703697205e-05,-4.050823743051036
0,10,8.59871506690979e-05,-4.065566441901014
0,11,8.401274681091309e-05,-4.075654815727928
0,12,8.20159912109375e-05,-4.086101462036056
0,13,8.1684032920748e-05,-4.087862828315992
0,14,7.973518222570419e-05,-4.098350008904401
0,15,7.876381278038025e-05,-4.103673268798511
0,16,7.695625754422508e-05,-4.11375606060917
0,17,7.299892604351044e-05,-4.136683529150888
0,18,6.500270683318377e-05,-4.1870685581534755
0,19,6.135553121566772e-05,-4.212146279421719
0,20,5.927064921706915e-05,-4.227160315719535
0,21,5.890987813472748e-05,-4.229811875676333
0,22,5.8555975556373596e-05,-4.232428779178483
0,23,5.8105913922190666e-05,-4.235779663598198
0,24,5.453452467918396e-05,-4.26332846780592
0,25,5.0675589591264725e-05,-4.295201189753981
0,26,4.944554530084133e-05,-4.305872829211591
0,27,4.928186535835266e-05,-4.3073128621360945
0,28,4.924798849970102e-05,-4.307611503264246
0,29,4.565902054309845e-05,-4.34047340903698
0,30,4.4823624193668365e-05,-4.348493031699249
0,31,4.3597654439508915e-05,-4.360536875212604
0,32,4.246253956807777e-05,-4.371994035430957
0,33,4.202860873192549e-05,-4.376454986155596
0,34,4.182010889053345e-05,-4.37861484070782
0,35,4.06792969442904e-05,-4.390626561547072
0,36,4.0649319998919964e-05,-4.39094671509296
0,37,4.0147919207811356e-05,-4.396336958479523
0,38,3.9437771192751825e-05,-4.40408763698743
0,39,3.768806345760822e-05,-4.423796177522054
0,40,3.7397199776023626e-05,-4.427160915643109
0,41,3.6289915442466736e-05,-4.440214043728704
0,42,3.6106095649302006e-05,-4.442419471685042
0,43,3.591210406739265e-05,-4.4447591490903395
0,44,3.534555435180664e-05,-4.451665202571286
0,45,3.487453795969486e-05,-4.457491537492802
0,46,3.298645606264472e-05,-4.481664340869108
0,47,3.0403840355575085e-05,-4.517071556526235
0,48,2.9140152037143707e-05,-4.535508186652497
0,49,2.9012328013777733e-05,-4.537417421043176
0,50,2.8713373467326164e-05,-4.541915780259434
0,51,2.802908420562744e-05,-4.552391091713132
0,52,2.7904665330424905e-05,-4.5543231817486935
0,53,2.7129892259836197e-05,-4.566551930936212
0,54,2.6938796509057283e-05,-4.569621810288995
0,55,2.6315567083656788e-05,-4.579787266777264
0,56,2.5608227588236332e-05,-4.5916204791374335
0,57,2.5407876819372177e-05,-4.595031624762941
0,58,2.4452805519104004e-05,-4.611671306210418
0,59,2.3971719201654196e-05,-4.620300818155861
0,60,2.3555767256766558e-05,-4.6279027453865575
0,61,2.337960177101195e-05,-4.631162890527684
0,62,2.2555235773324966e-05,-4.6467526287959835
0,63,2.1654297597706318e-05,-4.664455898952732
0,64,2.1595158614218235e-05,-4.66564360175648
0,65,2.141005825251341e-05,-4.669382151074982
0,66,2.138945274055004e-05,-4.669800326919811
0,67,2.1127707441337407e-05,-4.675147625502973
0,68,2.0988110918551683e-05,-4.67802664929609
0,69,2.0382343791425228e-05,-4.690745877387693
0,70,1.9023427739739418e-05,-4.720711226918585
0,71,1.8851831555366516e-05,-4.724646449397318
0,72,1.8784834537655115e-05,-4.726192625977218
0,73,1.8716251361183822e-05,-4.72778113082106
0,74,1.7803162336349487e-05,-4.749502848070679
0,75,1.6934354789555073e-05,-4.771231345619525
0,76,1.692119985818863e-05,-4.771568845001782
0,77,1.6310252249240875e-05,-4.787539322245669
0,78,1.618856913410127e-05,-4.790791535720134
0,79,1.5504832845181227e-05,-4.809532911452242
0,80,1.5003024600446224e-05,-4.823821178619807
0,81,1.4496734365820885e-05,-4.838729818912194
0,82,1.4312710845842957e-05,-4.844278102516096
0,83,1.3962533557787538e-05,-4.855035770084432
0,84,1.396250445395708e-05,-4.855036675338918
0,85,1.3221288099884987e-05,-4.878726231127195
0,86,1.27889616123803e-05,-4.893164716218821
0,87,1.2518314179033041e-05,-4.902454152917877
0,88,1.2367876479402184e-05,-4.907704860794921
0,89,1.2071570381522179e-05,-4.918236229184616
0,90,1.1736381566151977e-05,-4.930465779415243
0,91,1.1727388482540846e-05,-4.93079868813117
0,92,1.143259578384459e-05,-4.941855151353718
0,93,1.123559195548296e-05,-4.94940404151567
0,94,1.1177558917552233e-05,-4.951653032262849
0,95,1.0921299690380692e-05,-4.961725675296751
0,96,1.0883668437600136e-05,-4.963224697130611
0,97,1.0640855180099607e-05,-4.973023467428788
0,98,1.062336377799511e-05,-4.973737946633786
0,99,1.044443342834711e-05,-4.98111511390447
0,100,1.038482878357172e-05,-4.983600659356421
0,101,1.0346033377572894e-05,-4.9852261248374
0,102,1.024760422296822e-05,-4.9893776560092835
0,103,1.0067858966067433e-05,-4.997062876823286
0,104,9.957351721823215e-06,-5.001856152091462
0,105,9.61372279562056e-06,-5.017108404577664
0,106,9.572366252541542e-06,-5.018980693007328
0,107,9.546172805130482e-06,-5.020170708285788
0,108,9.387702448293567e-06,-5.02744068421108
0,109,9.340583346784115e-06,-5.029625999960682
0,110,9.325623977929354e-06,-5.0303220998833105
0,111,9.252922609448433e-06,-5.033721070214472
0,112,8.990580681711435e-06,-5.046212257241327
0,113,8.895411156117916e-06,-5.050833973526491
0,114,8.711242116987705e-06,-5.059919915475379
0,115,8.69890209287405e-06,-5.060535557162427
0,116,8.643284672871232e-06,-5.063321182959528
0,117,8.613336831331253e-06,-5.064828569023448
0,118,8.493982022628188e-06,-5.070888662521421
0,119,8.366885595023632e-06,-5.077436169318295
0,120,8.266884833574295e-06,-5.082658112510316
0,121,8.213333785533905e-06,-5.085480527316372
0,122,8.055882062762976e-06,-5.093886900431868
0,123,7.906346581876278e-06,-5.1020241518830955
0,124,7.827591616660357e-06,-5.1063718405584195
0,125,7.75209628045559e-06,-5.110580842018835
0,126,7.330032531172037e-06,-5.134894097926791
0,127,7.024267688393593e-06,-5.153398946222543
0,128,7.007998647168279e-06,-5.154405990676649
0,129,6.953341653570533e-06,-5.157806430960271
0,130,6.847607437521219e-06,-5.16446114503142
0,131,6.723828846588731e-06,-5.172383349951202
0,132,6.677932105958462e-06,-5.175358000699061
0,133,6.495916750282049e-06,-5.187359549518852
0,134,6.489339284598827e-06,-5.1877995188637405
0,135,6.43701059743762e-06,-5.191315775878815
0,136,6.3551124185323715e-06,-5.196876762605418
0,137,6.301503162831068e-06,-5.200555841426523
0,138,6.037007551640272e-06,-5.219178280890995
0,139,6.024085450917482e-06,-5.2201088763494
0,140,5.906564183533192e-06,-5.228665072424636
0,141,5.781825166195631e-06,-5.237935044886819
0,142,5.773210432380438e-06,-5.238582612264741
0,143,5.737761966884136e-06,-5.241257472578868
0,144,5.7282159104943275e-06,-5.241980620768451
0,145,5.533744115382433e-06,-5.256980926844276
0,146,5.411769961938262e-06,-5.266660672234083
0,147,5.405570846050978e-06,-5.267158436363925
0,148,5.395675543695688e-06,-5.2679541734958955
0,149,5.336594767868519e-06,-5.272735773917471
0,150,5.089357728138566e-06,-5.293337021734995
0,151,4.822679329663515e-06,-5.316711614293662
0,152,4.8189249355345964e-06,-5.317049838657708
0,153,4.632776835933328e-06,-5.334158619558771
0,154,4.628789611160755e-06,-5.3345325584240175
0,155,4.582456313073635e-06,-5.33890166669995
0,156,4.560453817248344e-06,-5.340991937923272
0,157,4.503148375079036e-06,-5.34648374315111
0,158,4.484783858060837e-06,-5.348258482723221
0,159,4.224188160151243e-06,-5.374256745044463
0,160,4.187226295471191e-06,-5.378073567358431
0,161,4.149565938860178e-06,-5.38199732984621
0,162,4.130066372454166e-06,-5.384042968934646
0,163,4.047469701617956e-06,-5.3928163935861715
0,164,4.0119048207998276e-06,-5.396649378815067
0,165,3.953173290938139e-06,-5.403054147547077
0,166,3.854220267385244e-06,-5.414063469188504
0,167,3.783672582358122e-06,-5.42208645203435
0,168,3.7711579352617264e-06,-5.423525279056493
0,169,3.7633872125297785e-06,-5.424421095096678
0,170,3.7575955502688885e-06,-5.425089967114464
0,171,3.749213647097349e-06,-5.4260598108156515
0,172,3.6913552321493626e-06,-5.432814159101608
0,173,3.639492206275463e-06,-5.438959206295028
0,174,3.5700504668056965e-06,-5.447325644587997
0,175,3.5580014809966087e-06,-5.448793875479604
0,176,3.495137207210064e-06,-5.456535770658049
0,177,3.4762779250741005e-06,-5.458885509409517
0,178,3.3891992643475533e-06,-5.469902896532189
0,179,3.3703981898725033e-06,-5.472318787126103
0,180,3.3059041015803814e-06,-5.48070974869516
